order_id,farmer_id,crop,review_text,star_rating,predicted_sentiment_proba
ORD-001782,FARM-0126,Potato,"Not fresh at all, the Potato looked days old when it arrived.",2,0.14577451529314275
ORD-003917,FARM-0039,Brinjal,"Overpriced for the quality of Brinjal received, wouldn't order again.",1,0.23221460772009603
ORD-000221,FARM-0108,Brinjal,"Excellent produce, the Brinjal lasted much longer than store-bought.",5,0.8794160708567669
ORD-002135,FARM-0091,Onion,"Best Onion I've bought locally, well worth the price.",5,0.7228578531920824
ORD-005224,FARM-0005,Elephant Yam (Suran),Really impressed with this farmer's Elephant Yam - consistent quality every time.,5,0.2710501505934448
ORD-001168,FARM-0110,Tomato,"Excellent produce, the Tomato lasted much longer than store-bought.",4,0.8794160708567669
ORD-000879,FARM-0110,Tomato,Packaging was poor and the Tomato was damaged in transit.,1,0.07701662428970582
ORD-000156,FARM-0023,Tomato,"Great quality Tomato, arrived quickly and tasted like it was picked yesterday.",4,0.6494034374505385
ORD-001657,FARM-0053,Onion,"The Onion was incredibly fresh and flavorful, will definitely order again.",5,0.7712552649925662
ORD-000323,FARM-0063,Bhindi (Ladies finger),"Overpriced for the quality of Bhindi received, wouldn't order again.",1,0.23221460772009603
ORD-005302,FARM-0033,Tomato,Decent quality Tomato for the price.,3,0.2409231479129211
ORD-002611,FARM-0110,Peas,"Not fresh at all, the Peas looked days old when it arrived.",1,0.14524165358573432
ORD-000811,FARM-0138,Methi,"Best Methi I've bought locally, well worth the price.",5,0.7228578531920824
ORD-000393,FARM-0017,Bhindi (Ladies finger),Really impressed with this farmer's Bhindi - consistent quality every time.,4,0.2710501505934448
ORD-003593,FARM-0037,Tomato,"Best Tomato I've bought locally, well worth the price.",4,0.7228578531920824
ORD-002638,FARM-0114,Onion,"Great quality Onion, arrived quickly and tasted like it was picked yesterday.",5,0.6494034374505385
ORD-002187,FARM-0005,Elephant Yam (Suran),"Excellent produce, the Elephant Yam lasted much longer than store-bought.",5,0.8794160708567669
ORD-005351,FARM-0119,Tomato,"Best Tomato I've bought locally, well worth the price.",4,0.7228578531920824
ORD-000319,FARM-0142,Methi,"Best Methi I've bought locally, well worth the price.",4,0.7228578531920824
ORD-000167,FARM-0015,Methi,Really impressed with this farmer's Methi - consistent quality every time.,4,0.2710501505934448
ORD-000746,FARM-0006,Methi,"The Methi was incredibly fresh and flavorful, will definitely order again.",5,0.7712552649925662
ORD-005470,FARM-0019,Brinjal,"The Brinjal was incredibly fresh and flavorful, will definitely order again.",5,0.7712552649925662
ORD-003707,FARM-0017,Methi,"Not fresh at all, the Methi looked days old when it arrived.",1,0.14524165358573432
ORD-002764,FARM-0053,Methi,"Excellent produce, the Methi lasted much longer than store-bought.",5,0.8794160708567669
ORD-005112,FARM-0031,Elephant Yam (Suran),"The Elephant Yam was okay, nothing special but acceptable.",3,0.5695238452158279
ORD-004006,FARM-0105,Onion,"The Onion was incredibly fresh and flavorful, will definitely order again.",5,0.7712552649925662
ORD-001871,FARM-0099,Green Chilli,"Overpriced for the quality of Green Chilli received, wouldn't order again.",2,0.35042733486392574
ORD-005756,FARM-0006,Methi,"Average Methi, arrived on time.",3,0.26011165671536535
ORD-003193,FARM-0134,Bhindi (Ladies finger),Really impressed with this farmer's Bhindi - consistent quality every time.,5,0.2710501505934448
ORD-003754,FARM-0109,Methi,"Average Methi, arrived on time.",3,0.26011165671536535
ORD-005625,FARM-0006,Potato,"The Potato was incredibly fresh and flavorful, will definitely order again.",4,0.6635433067007938
ORD-004894,FARM-0008,Tomato,"Average Tomato, arrived on time.",3,0.26011165671536535
ORD-004102,FARM-0006,Potato,"Average Potato, arrived on time.",3,0.24648450593733656
ORD-001261,FARM-0007,Methi,"Average Methi, arrived on time.",3,0.26011165671536535
ORD-002338,FARM-0125,Elephant Yam (Suran),"The Elephant Yam was incredibly fresh and flavorful, will definitely order again.",5,0.7712552649925662
ORD-000084,FARM-0056,Bhindi (Ladies finger),"Best Bhindi I've bought locally, well worth the price.",5,0.7228578531920824
ORD-003821,FARM-0074,Methi,"Excellent produce, the Methi lasted much longer than store-bought.",4,0.8794160708567669
ORD-002653,FARM-0111,Methi,"Excellent produce, the Methi lasted much longer than store-bought.",4,0.8794160708567669
ORD-005545,FARM-0114,Tomato,"Excellent produce, the Tomato lasted much longer than store-bought.",5,0.8794160708567669
ORD-002746,FARM-0064,Tomato,"Excellent produce, the Tomato lasted much longer than store-bought.",4,0.8794160708567669
ORD-002858,FARM-0060,Elephant Yam (Suran),"The Elephant Yam arrived bruised and past its best, disappointed with this order.",1,0.0430039601799395
ORD-000996,FARM-0030,Methi,"Average Methi, arrived on time.",3,0.26011165671536535
ORD-000228,FARM-0144,Brinjal,"Not fresh at all, the Brinjal looked days old when it arrived.",1,0.14524165358573432
ORD-003264,FARM-0133,Potato,"The Potato arrived bruised and past its best, disappointed with this order.",1,0.05586740167554912
ORD-004828,FARM-0060,Elephant Yam (Suran),"The Elephant Yam arrived bruised and past its best, disappointed with this order.",1,0.0430039601799395
ORD-003942,FARM-0119,Onion,Really impressed with this farmer's Onion - consistent quality every time.,5,0.2710501505934448
ORD-005459,FARM-0050,Tomato,Really impressed with this farmer's Tomato - consistent quality every time.,5,0.2710501505934448
ORD-003832,FARM-0033,Tomato,"Best Tomato I've bought locally, well worth the price.",4,0.7228578531920824
ORD-001652,FARM-0026,Potato,"Great quality Potato, arrived quickly and tasted like it was picked yesterday.",4,0.5720862674626566
ORD-000079,FARM-0119,Tomato,"Best Tomato I've bought locally, well worth the price.",5,0.7228578531920824
ORD-000964,FARM-0016,Methi,"The Methi was incredibly fresh and flavorful, will definitely order again.",5,0.7712552649925662
ORD-000926,FARM-0107,Potato,"Excellent produce, the Potato lasted much longer than store-bought.",4,0.7951971498459846
ORD-000794,FARM-0016,Brinjal,"Overpriced for the quality of Brinjal received, wouldn't order again.",1,0.23221460772009603
ORD-003379,FARM-0117,Elephant Yam (Suran),"Excellent produce, the Elephant Yam lasted much longer than store-bought.",5,0.8794160708567669
ORD-003164,FARM-0105,Onion,"Best Onion I've bought locally, well worth the price.",4,0.7228578531920824
ORD-004657,FARM-0017,Methi,"Great quality Methi, arrived quickly and tasted like it was picked yesterday.",5,0.6494034374505385
ORD-003311,FARM-0104,Potato,"Excellent produce, the Potato lasted much longer than store-bought.",4,0.7951971498459846
ORD-003934,FARM-0111,Methi,"Great quality Methi, arrived quickly and tasted like it was picked yesterday.",5,0.6494034374505385
ORD-001074,FARM-0045,Potato,Really impressed with this farmer's Potato - consistent quality every time.,5,0.24886314989667283
ORD-004840,FARM-0109,Methi,"Excellent produce, the Methi lasted much longer than store-bought.",4,0.8794160708567669
ORD-004183,FARM-0107,Elephant Yam (Suran),"Overpriced for the quality of Elephant Yam received, wouldn't order again.",1,0.23221460772009603
ORD-002024,FARM-0142,Methi,"Best Methi I've bought locally, well worth the price.",4,0.7228578531920824
ORD-005677,FARM-0132,Methi,"Best Methi I've bought locally, well worth the price.",4,0.7228578531920824
ORD-004634,FARM-0042,Potato,Really impressed with this farmer's Potato - consistent quality every time.,5,0.24886314989667283
ORD-001745,FARM-0110,Tomato,"Not fresh at all, the Tomato looked days old when it arrived.",1,0.14524165358573432
ORD-003143,FARM-0107,Potato,"The Potato was incredibly fresh and flavorful, will definitely order again.",5,0.6635433067007938
ORD-003263,FARM-0080,Bhindi (Ladies finger),Really impressed with this farmer's Bhindi - consistent quality every time.,4,0.2710501505934448
ORD-003121,FARM-0093,Brinjal,"Excellent produce, the Brinjal lasted much longer than store-bought.",4,0.8794160708567669
ORD-001451,FARM-0008,Tomato,"Great quality Tomato, arrived quickly and tasted like it was picked yesterday.",4,0.6494034374505385
ORD-000439,FARM-0012,Elephant Yam (Suran),"The Elephant Yam was incredibly fresh and flavorful, will definitely order again.",4,0.7712552649925662
ORD-003316,FARM-0000,Bhindi (Ladies finger),"Not fresh at all, the Bhindi looked days old when it arrived.",1,0.14524165358573432
ORD-004543,FARM-0110,Tomato,"The Tomato arrived bruised and past its best, disappointed with this order.",1,0.0430039601799395
ORD-002981,FARM-0015,Methi,Really impressed with this farmer's Methi - consistent quality every time.,5,0.2710501505934448
ORD-002080,FARM-0086,Tomato,"Not fresh at all, the Tomato looked days old when it arrived.",1,0.14524165358573432
ORD-004020,FARM-0041,Onion,"Great quality Onion, arrived quickly and tasted like it was picked yesterday.",5,0.6494034374505385
ORD-001454,FARM-0142,Methi,Really impressed with this farmer's Methi - consistent quality every time.,5,0.2710501505934448
ORD-000254,FARM-0107,Tomato,"The Tomato was incredibly fresh and flavorful, will definitely order again.",4,0.7712552649925662
ORD-000465,FARM-0132,Methi,Packaging was poor and the Methi was damaged in transit.,1,0.07701662428970582
ORD-002117,FARM-0064,Tomato,Really impressed with this farmer's Tomato - consistent quality every time.,4,0.2710501505934448
ORD-000506,FARM-0062,Brinjal,"Best Brinjal I've bought locally, well worth the price.",5,0.7228578531920824
ORD-004271,FARM-0104,Potato,"Best Potato I've bought locally, well worth the price.",4,0.6369308139596224
ORD-004288,FARM-0110,Tomato,"Overpriced for the quality of Tomato received, wouldn't order again.",2,0.23221460772009603
ORD-004213,FARM-0143,Methi,"Excellent produce, the Methi lasted much longer than store-bought.",5,0.8794160708567669
ORD-000233,FARM-0109,Methi,"The Methi was incredibly fresh and flavorful, will definitely order again.",4,0.7712552649925662
ORD-000553,FARM-0021,Bhindi (Ladies finger),"Average Bhindi, arrived on time.",3,0.26011165671536535
ORD-005314,FARM-0093,Brinjal,"Not fresh at all, the Brinjal looked days old when it arrived.",1,0.14524165358573432
ORD-000544,FARM-0007,Methi,"Great quality Methi, arrived quickly and tasted like it was picked yesterday.",5,0.6494034374505385
ORD-003700,FARM-0148,Tomato,"Best Tomato I've bought locally, well worth the price.",5,0.7228578531920824
ORD-003540,FARM-0005,Onion,"Excellent produce, the Onion lasted much longer than store-bought.",5,0.8794160708567669
ORD-002788,FARM-0041,Onion,Really impressed with this farmer's Onion - consistent quality every time.,5,0.2710501505934448
ORD-002864,FARM-0068,Elephant Yam (Suran),"Excellent produce, the Elephant Yam lasted much longer than store-bought.",4,0.8794160708567669
ORD-002083,FARM-0080,Green Chilli,"The Green Chilli arrived bruised and past its best, disappointed with this order.",2,0.08532031231119723
ORD-005542,FARM-0024,Onion,"Quality was inconsistent, some of the Onion was already going bad.",2,0.004311618485552403
ORD-000308,FARM-0010,Methi,Really impressed with this farmer's Methi - consistent quality every time.,5,0.2710501505934448
ORD-000710,FARM-0045,Potato,"Quality was inconsistent, some of the Potato was already going bad.",1,0.01654784616876438
ORD-004103,FARM-0039,Brinjal,"Excellent produce, the Brinjal lasted much longer than store-bought.",5,0.8794160708567669
ORD-001580,FARM-0111,Methi,"Great quality Methi, arrived quickly and tasted like it was picked yesterday.",4,0.6494034374505385
ORD-001310,FARM-0122,Onion,Packaging was poor and the Onion was damaged in transit.,1,0.07701662428970582
ORD-000625,FARM-0117,Elephant Yam (Suran),"The Elephant Yam was incredibly fresh and flavorful, will definitely order again.",4,0.7712552649925662
ORD-000023,FARM-0138,Methi,"Best Methi I've bought locally, well worth the price.",5,0.7228578531920824
ORD-002531,FARM-0069,Onion,"The Onion was okay, nothing special but acceptable.",3,0.5695238452158279
ORD-001870,FARM-0090,Green Chilli,"The Green Chilli was incredibly fresh and flavorful, will definitely order again.",4,0.8397466728635525
ORD-005110,FARM-0141,Elephant Yam (Suran),"Best Elephant Yam I've bought locally, well worth the price.",5,0.7228578531920824
ORD-003488,FARM-0027,Tomato,"Not fresh at all, the Tomato looked days old when it arrived.",1,0.14524165358573432
ORD-001170,FARM-0064,Tomato,"The Tomato was incredibly fresh and flavorful, will definitely order again.",5,0.7712552649925662
ORD-004745,FARM-0142,Methi,"The Methi was incredibly fresh and flavorful, will definitely order again.",4,0.7712552649925662
ORD-002118,FARM-0010,Methi,Decent quality Methi for the price.,3,0.2409231479129211
ORD-003018,FARM-0120,Methi,"Excellent produce, the Methi lasted much longer than store-bought.",4,0.8794160708567669
ORD-001194,FARM-0107,Potato,Decent quality Potato for the price.,3,0.2329176845440632
ORD-002245,FARM-0127,Tomato,"Excellent produce, the Tomato lasted much longer than store-bought.",5,0.8794160708567669
ORD-002873,FARM-0107,Tomato,"Overpriced for the quality of Tomato received, wouldn't order again.",1,0.23221460772009603
ORD-005639,FARM-0062,Brinjal,"The Brinjal was incredibly fresh and flavorful, will definitely order again.",4,0.7712552649925662
ORD-002549,FARM-0120,Brinjal,"Quality was inconsistent, some of the Brinjal was already going bad.",1,0.004311618485552403
ORD-003154,FARM-0110,Tomato,Really impressed with this farmer's Tomato - consistent quality every time.,4,0.2710501505934448
ORD-000093,FARM-0086,Tomato,"Excellent produce, the Tomato lasted much longer than store-bought.",4,0.8794160708567669
ORD-002077,FARM-0144,Brinjal,"Excellent produce, the Brinjal lasted much longer than store-bought.",5,0.8794160708567669
ORD-000469,FARM-0097,Tomato,"Not fresh at all, the Tomato looked days old when it arrived.",2,0.14524165358573432
ORD-000787,FARM-0142,Bhindi (Ladies finger),"The Bhindi was incredibly fresh and flavorful, will definitely order again.",5,0.7712552649925662
ORD-001699,FARM-0009,Onion,Really impressed with this farmer's Onion - consistent quality every time.,5,0.2710501505934448
ORD-001837,FARM-0093,Brinjal,"Not fresh at all, the Brinjal looked days old when it arrived.",1,0.14524165358573432
ORD-003063,FARM-0005,Onion,Packaging was poor and the Onion was damaged in transit.,2,0.07701662428970582
ORD-001706,FARM-0099,Green Chilli,"Best Green Chilli I've bought locally, well worth the price.",5,0.7944549731334654
ORD-003967,FARM-0006,Methi,"The Methi arrived bruised and past its best, disappointed with this order.",2,0.0430039601799395
ORD-003862,FARM-0005,Onion,"Overpriced for the quality of Onion received, wouldn't order again.",1,0.23221460772009603
ORD-003664,FARM-0132,Methi,Really impressed with this farmer's Methi - consistent quality every time.,4,0.2710501505934448
ORD-005891,FARM-0109,Methi,Decent quality Methi for the price.,3,0.2409231479129211
ORD-003204,FARM-0018,Onion,"Great quality Onion, arrived quickly and tasted like it was picked yesterday.",5,0.6494034374505385
ORD-000604,FARM-0125,Elephant Yam (Suran),"Excellent produce, the Elephant Yam lasted much longer than store-bought.",4,0.8794160708567669
ORD-004942,FARM-0120,Brinjal,"Average Brinjal, arrived on time.",3,0.26011165671536535
ORD-001550,FARM-0006,Methi,"Not fresh at all, the Methi looked days old when it arrived.",1,0.14524165358573432
ORD-004708,FARM-0056,Bhindi (Ladies finger),"Great quality Bhindi, arrived quickly and tasted like it was picked yesterday.",4,0.6494034374505385
ORD-004834,FARM-0093,Tomato,Packaging was poor and the Tomato was damaged in transit.,2,0.07701662428970582
ORD-003185,FARM-0137,Bhindi (Ladies finger),"The Bhindi was incredibly fresh and flavorful, will definitely order again.",5,0.7712552649925662
ORD-004386,FARM-0019,Brinjal,"The Brinjal was incredibly fresh and flavorful, will definitely order again.",4,0.7712552649925662
ORD-001586,FARM-0007,Methi,"Quality was inconsistent, some of the Methi was already going bad.",1,0.004311618485552403
ORD-003119,FARM-0000,Tomato,"Excellent produce, the Tomato lasted much longer than store-bought.",5,0.8794160708567669
ORD-003399,FARM-0039,Brinjal,"Great quality Brinjal, arrived quickly and tasted like it was picked yesterday.",4,0.6494034374505385
ORD-000401,FARM-0002,Methi,"The Methi was incredibly fresh and flavorful, will definitely order again.",4,0.7712552649925662
ORD-000031,FARM-0097,Tomato,"The Tomato arrived bruised and past its best, disappointed with this order.",2,0.0430039601799395
ORD-001483,FARM-0005,Onion,"The Onion was incredibly fresh and flavorful, will definitely order again.",5,0.7712552649925662
ORD-002680,FARM-0097,Tomato,"Best Tomato I've bought locally, well worth the price.",5,0.7228578531920824
ORD-000599,FARM-0119,Tomato,"Great quality Tomato, arrived quickly and tasted like it was picked yesterday.",5,0.6494034374505385
ORD-003149,FARM-0114,Tomato,"Excellent produce, the Tomato lasted much longer than store-bought.",5,0.8794160708567669
ORD-005544,FARM-0144,Brinjal,"The Brinjal arrived bruised and past its best, disappointed with this order.",2,0.0430039601799395
ORD-001860,FARM-0116,Methi,"Great quality Methi, arrived quickly and tasted like it was picked yesterday.",5,0.6494034374505385
ORD-000565,FARM-0005,Onion,Really impressed with this farmer's Onion - consistent quality every time.,5,0.2710501505934448
ORD-002213,FARM-0130,Methi,"The Methi was incredibly fresh and flavorful, will definitely order again.",4,0.7712552649925662
ORD-001966,FARM-0093,Methi,Really impressed with this farmer's Methi - consistent quality every time.,5,0.2710501505934448
ORD-000865,FARM-0045,Potato,"Excellent produce, the Potato lasted much longer than store-bought.",4,0.7951971498459846
ORD-004607,FARM-0046,Methi,Packaging was poor and the Methi was damaged in transit.,1,0.07701662428970582
ORD-002450,FARM-0029,Bhindi (Ladies finger),"Excellent produce, the Bhindi lasted much longer than store-bought.",5,0.8794160708567669
ORD-005692,FARM-0040,Methi,Packaging was poor and the Methi was damaged in transit.,1,0.07701662428970582
ORD-000812,FARM-0142,Bhindi (Ladies finger),"Average Bhindi, arrived on time.",3,0.26011165671536535
ORD-001477,FARM-0080,Bhindi (Ladies finger),Decent quality Bhindi for the price.,3,0.2409231479129211
ORD-004734,FARM-0028,Methi,Decent quality Methi for the price.,3,0.2409231479129211
ORD-002271,FARM-0128,Methi,"Great quality Methi, arrived quickly and tasted like it was picked yesterday.",4,0.6494034374505385
ORD-001038,FARM-0117,Brinjal,"Excellent produce, the Brinjal lasted much longer than store-bought.",5,0.8794160708567669
ORD-004526,FARM-0023,Tomato,"Best Tomato I've bought locally, well worth the price.",4,0.7228578531920824
ORD-000080,FARM-0130,Methi,"The Methi was incredibly fresh and flavorful, will definitely order again.",5,0.7712552649925662
ORD-001204,FARM-0066,Potato,"The Potato was incredibly fresh and flavorful, will definitely order again.",4,0.6635433067007938
ORD-003285,FARM-0135,Potato,"Great quality Potato, arrived quickly and tasted like it was picked yesterday.",4,0.5720862674626566
ORD-001545,FARM-0006,Methi,"Best Methi I've bought locally, well worth the price.",4,0.7228578531920824
ORD-000177,FARM-0062,Elephant Yam (Suran),"The Elephant Yam was incredibly fresh and flavorful, will definitely order again.",4,0.7712552649925662
ORD-002585,FARM-0102,Onion,"Best Onion I've bought locally, well worth the price.",5,0.7228578531920824
ORD-005992,FARM-0068,Elephant Yam (Suran),Packaging was poor and the Elephant Yam was damaged in transit.,2,0.07701662428970582
ORD-004863,FARM-0107,Tomato,Really impressed with this farmer's Tomato - consistent quality every time.,4,0.2710501505934448
ORD-001438,FARM-0098,Tomato,Really impressed with this farmer's Tomato - consistent quality every time.,5,0.2710501505934448
ORD-000296,FARM-0017,Bhindi (Ladies finger),"Not fresh at all, the Bhindi looked days old when it arrived.",2,0.14524165358573432
ORD-003615,FARM-0030,Methi,"The Methi was incredibly fresh and flavorful, will definitely order again.",5,0.7712552649925662
ORD-003647,FARM-0102,Onion,"The Onion was okay, nothing special but acceptable.",3,0.5695238452158279
